id	pclass	age	sibsp	parch	fare	sex_female	sex_male	embarked_C	embarked_Q	embarked_S
150	2	51.0	0	0	12.525	0	1	0	0	1
154	3		0	0	7.3125	0	1	0	0	1
155	1	51.0	0	1	61.3792	0	1	1	0	0
156	3	16.0	0	0	7.7333	1	0	0	1	0
157	3	30.0	0	0	8.05	0	1	0	0	1
158	3		0	0	8.6625	0	1	0	0	1
159	3		8	2	69.55	0	1	0	0	1
161	2	40.0	0	0	15.75	1	0	0	0	1
162	3	26.0	0	0	7.775	0	1	0	0	1
165	3	9.0	0	2	20.525	0	1	0	0	1
167	3	45.0	1	4	27.9	1	0	0	0	1
170	1	61.0	0	0	33.5	0	1	0	0	1
171	3	4.0	4	1	29.125	0	1	0	1	0
172	3	1.0	1	1	11.1333	1	0	0	0	1
173	3	21.0	0	0	7.925	0	1	0	0	1
175	3	18.0	1	1	7.8542	0	1	0	0	1
178	2	30.0	0	0	13.0	0	1	0	0	1
179	3	36.0	0	0	0.0	0	1	0	0	1
181	2		0	0	15.05	0	1	1	0	0
185	1		0	0	50.0	0	1	0	0	1
187	1	45.0	0	0	26.55	0	1	0	0	1
188	3	40.0	1	1	15.5	0	1	0	1	0
190	2	32.0	0	0	13.0	1	0	0	0	1
193	2	3.0	1	1	26.0	0	1	0	0	1
194	1	44.0	0	0	27.7208	1	0	1	0	0
196	3		0	0	7.75	0	1	0	1	0
198	3		0	0	7.75	1	0	0	1	0
200	3	28.0	0	0	9.5	0	1	0	0	1
202	3	34.0	0	0	6.4958	0	1	0	0	1
204	3	18.0	0	0	8.05	0	1	0	0	1
205	3	2.0	0	1	10.4625	1	0	0	0	1
206	3	32.0	1	0	15.85	0	1	0	0	1
208	3	16.0	0	0	7.75	1	0	0	1	0
210	3	24.0	0	0	7.05	0	1	0	0	1
211	2	35.0	0	0	21.0	1	0	0	0	1
214	3		1	0	7.75	0	1	0	1	0
215	1	31.0	1	0	113.275	1	0	1	0	0
218	1	32.0	0	0	76.2917	1	0	1	0	0
220	3	16.0	0	0	8.05	0	1	0	0	1
222	3	51.0	0	0	8.05	0	1	0	0	1
223	3		0	0	7.8958	0	1	0	0	1
229	3		3	1	25.4667	1	0	0	0	1
230	1	35.0	1	0	83.475	1	0	0	0	1
231	3	29.0	0	0	7.775	0	1	0	0	1
233	3	5.0	4	2	31.3875	1	0	0	0	1
235	3		0	0	7.55	1	0	0	0	1
236	2	44.0	1	0	26.0	0	1	0	0	1
238	2	19.0	0	0	10.5	0	1	0	0	1
239	2	33.0	0	0	12.275	0	1	0	0	1
240	3		1	0	14.4542	1	0	1	0	0
241	3		1	0	15.5	1	0	0	1	0
242	2	29.0	0	0	10.5	0	1	0	0	1
243	3	22.0	0	0	7.125	0	1	0	0	1
245	1	44.0	2	0	90.0	0	1	0	1	0
247	2	24.0	0	2	14.5	1	0	0	0	1
249	2	54.0	1	0	26.0	0	1	0	0	1
250	3		0	0	7.25	0	1	0	0	1
251	3	29.0	1	1	10.4625	1	0	0	0	1
252	1	62.0	0	0	26.55	0	1	0	0	1
253	3	30.0	1	0	16.1	0	1	0	0	1
255	3	29.0	0	2	15.2458	1	0	1	0	0
258	1	35.0	0	0	512.3292	1	0	1	0	0
261	3	3.0	4	2	31.3875	0	1	0	0	1
262	1	52.0	1	1	79.65	0	1	0	0	1
263	1	40.0	0	0	0.0	0	1	0	0	1
264	3		0	0	7.75	1	0	0	1	0
266	3	16.0	4	1	39.6875	0	1	0	0	1
267	3	25.0	1	0	7.775	0	1	0	0	1
268	1	58.0	0	1	153.4625	1	0	0	0	1
270	1		0	0	31.0	0	1	0	0	1
271	3	25.0	0	0	0.0	0	1	0	0	1
272	2	41.0	0	1	19.5	1	0	0	0	1
278	3	7.0	4	1	29.125	0	1	0	1	0
279	3	35.0	1	1	20.25	1	0	0	0	1
283	3	19.0	0	0	8.05	0	1	0	0	1
285	3	33.0	0	0	8.6625	0	1	1	0	0
293	3	24.0	0	0	8.85	1	0	0	0	1
294	3	24.0	0	0	7.8958	0	1	0	0	1
298	1		0	0	30.5	0	1	0	0	1
299	1	50.0	0	1	247.5208	1	0	1	0	0
301	3		2	0	23.25	0	1	0	1	0
302	3	19.0	0	0	0.0	0	1	0	0	1
303	2		0	0	12.35	1	0	0	1	0
304	3		0	0	8.05	0	1	0	0	1
306	1		0	0	110.8833	1	0	1	0	0
308	2	30.0	1	0	24.0	0	1	1	0	0
309	1	30.0	0	0	56.9292	1	0	1	0	0
310	1	24.0	0	0	83.1583	1	0	1	0	0
311	1	18.0	2	2	262.375	1	0	1	0	0
312	2	26.0	1	1	26.0	1	0	0	0	1
313	3	28.0	0	0	7.8958	0	1	0	0	1
315	3	26.0	0	0	7.8542	1	0	0	0	1
316	2	24.0	1	0	26.0	1	0	0	0	1
317	2	54.0	0	0	14.0	0	1	0	0	1
318	1	31.0	0	2	164.8667	1	0	0	0	1
319	1	40.0	1	1	134.5	1	0	1	0	0
320	3	22.0	0	0	7.25	0	1	0	0	1
327	2	36.0	0	0	13.0	1	0	0	0	1
331	1	45.5	0	0	28.5	0	1	0	0	1
333	3	16.0	2	0	18.0	0	1	0	0	1
334	1		1	0	133.65	1	0	0	0	1
337	1	41.0	0	0	134.5	1	0	1	0	0
338	3	45.0	0	0	8.05	0	1	0	0	1
342	2	28.0	0	0	13.0	0	1	0	0	1
344	2	36.0	0	0	13.0	0	1	0	0	1
345	2	24.0	0	0	13.0	1	0	0	0	1
346	2	40.0	0	0	13.0	1	0	0	0	1
350	3	23.0	0	0	9.225	0	1	0	0	1
351	1		0	0	35.0	0	1	0	0	1
352	3	15.0	1	1	7.2292	0	1	1	0	0
354	3		0	0	7.225	0	1	1	0	0
356	1	22.0	0	1	55.0	1	0	0	0	1
358	3		0	0	7.8792	1	0	0	1	0
361	2	29.0	1	0	27.7208	0	1	1	0	0
362	3	45.0	0	1	14.4542	1	0	1	0	0
363	3	35.0	0	0	7.05	0	1	0	0	1
364	3		1	0	15.5	0	1	0	1	0
366	1	60.0	1	0	75.25	1	0	1	0	0
367	3		0	0	7.2292	1	0	1	0	0
372	3	19.0	0	0	8.05	0	1	0	0	1
374	3	3.0	3	1	21.075	1	0	0	0	1
375	1		1	0	82.1708	1	0	1	0	0
378	3	20.0	0	0	4.0125	0	1	1	0	0
379	3	19.0	0	0	7.775	0	1	0	0	1
380	1	42.0	0	0	227.525	1	0	1	0	0
382	3	32.0	0	0	7.925	0	1	0	0	1
384	3		0	0	7.8958	0	1	0	0	1
386	3	1.0	5	2	46.9	0	1	0	0	1
389	2	17.0	0	0	12.0	1	0	1	0	0
390	1	36.0	1	2	120.0	0	1	0	0	1
391	3	21.0	0	0	7.7958	0	1	0	0	1
392	3	28.0	2	0	7.925	0	1	0	0	1
395	3	22.0	0	0	7.7958	0	1	0	0	1
397	2	46.0	0	0	26.0	0	1	0	0	1
399	2	28.0	0	0	12.65	1	0	0	0	1
401	3	26.0	0	0	8.05	0	1	0	0	1
402	3	21.0	1	0	9.825	1	0	0	0	1
403	3	28.0	1	0	15.85	0	1	0	0	1
406	3	51.0	0	0	7.75	0	1	0	0	1
408	3	21.0	0	0	7.775	0	1	0	0	1
409	3		3	1	25.4667	1	0	0	0	1
412	1	33.0	1	0	90.0	1	0	0	1	0
413	2		0	0	0.0	0	1	0	0	1
416	2	34.0	1	1	32.5	1	0	0	0	1
418	2	30.0	0	0	13.0	0	1	0	0	1
420	3		0	0	7.8958	0	1	1	0	0
422	3	29.0	0	0	7.875	0	1	0	0	1
424	3	18.0	1	1	20.2125	0	1	0	0	1
425	3		0	0	7.25	0	1	0	0	1
428	3		0	0	7.75	0	1	0	1	0
432	2	42.0	1	0	26.0	1	0	0	0	1
434	1	50.0	1	0	55.9	0	1	0	0	1
436	3	21.0	2	2	34.375	1	0	0	0	1
439	2	31.0	0	0	10.5	0	1	0	0	1
440	2	45.0	1	1	26.25	1	0	0	0	1
441	3	20.0	0	0	9.5	0	1	0	0	1
443	2	28.0	0	0	13.0	1	0	0	0	1
447	1	34.0	0	0	26.55	0	1	0	0	1
451	3		1	0	19.9667	0	1	0	0	1
452	1	30.0	0	0	27.75	0	1	1	0	0
453	1	49.0	1	0	89.1042	0	1	1	0	0
456	1	65.0	0	0	26.55	0	1	0	0	1
457	1		1	0	51.8625	1	0	0	0	1
458	2	50.0	0	0	10.5	1	0	0	0	1
460	1	48.0	0	0	26.55	0	1	0	0	1
462	1	47.0	0	0	38.5	0	1	0	0	1
465	3	38.0	0	0	7.05	0	1	0	0	1
467	1	56.0	0	0	26.55	0	1	0	0	1
471	3	38.0	0	0	8.6625	0	1	0	0	1
474	3	22.0	0	0	9.8375	1	0	0	0	1
475	1		0	0	52.0	0	1	0	0	1
476	2	34.0	1	0	21.0	0	1	0	0	1
477	3	29.0	1	0	7.0458	0	1	0	0	1
479	3	2.0	0	1	12.2875	1	0	0	0	1
481	2		0	0	0.0	0	1	0	0	1
482	3	50.0	0	0	8.05	0	1	0	0	1
483	3	63.0	0	0	9.5875	1	0	0	0	1
484	1	25.0	1	0	91.0792	0	1	1	0	0
485	3		3	1	25.4667	1	0	0	0	1
487	1	58.0	0	0	29.7	0	1	1	0	0
489	3	9.0	1	1	15.9	0	1	0	0	1
491	3	21.0	0	0	7.25	0	1	0	0	1
492	1	55.0	0	0	30.5	0	1	0	0	1
493	1	71.0	0	0	49.5042	0	1	1	0	0
494	3	21.0	0	0	8.05	0	1	0	0	1
495	3		0	0	14.4583	0	1	1	0	0
496	1	54.0	1	0	78.2667	1	0	1	0	0
500	3	17.0	0	0	8.6625	0	1	0	0	1
501	3	21.0	0	0	7.75	1	0	0	1	0
503	3	37.0	0	0	9.5875	1	0	0	0	1
505	1	18.0	1	0	108.9	0	1	1	0	0
506	2	33.0	0	2	26.0	1	0	0	0	1
511	3		0	0	8.05	0	1	0	0	1
513	1	54.0	1	0	59.4	1	0	1	0	0
516	2	34.0	0	0	10.5	1	0	0	0	1
518	2	36.0	1	0	26.0	1	0	0	0	1
519	3	32.0	0	0	7.8958	0	1	0	0	1
520	1	30.0	0	0	93.5	1	0	0	0	1
521	3	22.0	0	0	7.8958	0	1	0	0	1
522	3		0	0	7.225	0	1	1	0	0
523	1	44.0	0	1	57.9792	1	0	1	0	0
524	3		0	0	7.2292	0	1	1	0	0
526	2	50.0	0	0	10.5	1	0	0	0	1
527	1		0	0	221.7792	0	1	0	0	1
529	2	23.0	2	1	11.5	0	1	0	0	1
530	2	2.0	1	1	26.0	1	0	0	0	1
531	3		0	0	7.2292	0	1	1	0	0
532	3	17.0	1	1	7.2292	0	1	1	0	0
533	3		0	2	22.3583	1	0	1	0	0
535	2	7.0	0	2	26.25	1	0	0	0	1
538	3		0	0	14.5	0	1	0	0	1
542	3	11.0	4	2	31.275	1	0	0	0	1
545	1	64.0	0	0	26.0	0	1	0	0	1
549	2	8.0	1	1	36.75	0	1	0	0	1
553	3	22.0	0	0	7.225	0	1	1	0	0
557	1		0	0	227.525	0	1	1	0	0
558	1	39.0	1	1	79.65	1	0	0	0	1
561	3	40.0	0	0	7.8958	0	1	0	0	1
563	3		0	0	8.05	0	1	0	0	1
564	3		0	0	8.05	1	0	0	0	1
566	3	19.0	0	0	7.8958	0	1	0	0	1
567	3	29.0	0	4	21.075	1	0	0	0	1
570	2	62.0	0	0	10.5	0	1	0	0	1
572	1	36.0	0	0	26.3875	0	1	0	0	1
573	3		0	0	7.75	1	0	0	1	0
578	3		1	0	14.4583	1	0	1	0	0
580	2	25.0	1	1	30.0	1	0	0	0	1
583	1	36.0	0	0	40.125	0	1	1	0	0
585	1	18.0	0	2	79.65	1	0	0	0	1
587	1	60.0	1	1	79.2	0	1	1	0	0
588	3	22.0	0	0	8.05	0	1	0	0	1
592	3	47.0	0	0	7.25	0	1	0	0	1
596	2		0	0	33.0	1	0	0	0	1
597	3	49.0	0	0	0.0	0	1	0	0	1
603	3	44.0	0	0	8.05	0	1	0	0	1
609	1	40.0	0	0	153.4625	1	0	0	0	1
612	3		1	0	15.5	1	0	0	1	0
614	3	35.0	0	0	8.05	0	1	0	0	1
615	2	24.0	1	2	65.0	1	0	0	0	1
618	2	4.0	2	1	39.0	1	0	0	0	1
619	2	26.0	0	0	10.5	0	1	0	0	1
620	3	27.0	1	0	14.4542	0	1	1	0	0
625	1	61.0	0	0	32.3208	0	1	0	0	1
626	2	57.0	0	0	12.35	0	1	0	1	0
627	1	21.0	0	0	77.9583	1	0	0	0	1
631	3	51.0	0	0	7.0542	0	1	0	0	1
632	1	32.0	0	0	30.5	0	1	1	0	0
634	3	9.0	3	2	27.9	1	0	0	0	1
635	2	28.0	0	0	13.0	1	0	0	0	1
638	3	41.0	0	5	39.6875	1	0	0	0	1
642	3	2.0	3	2	27.9	1	0	0	0	1
643	3		0	0	56.4958	0	1	0	0	1
644	3	0.75	2	1	19.2583	1	0	1	0	0
646	3	19.0	0	0	7.8958	0	1	0	0	1
647	1	56.0	0	0	35.5	0	1	1	0	0
648	3		0	0	7.55	0	1	0	0	1
650	3		0	0	7.8958	0	1	0	0	1
652	3	21.0	0	0	8.4333	0	1	0	0	1
653	3		0	0	7.8292	1	0	0	1	0
654	3	18.0	0	0	6.75	1	0	0	1	0
655	2	24.0	2	0	73.5	0	1	0	0	1
656	3		0	0	7.8958	0	1	0	0	1
657	3	32.0	1	1	15.5	1	0	0	1	0
658	2	23.0	0	0	13.0	0	1	0	0	1
666	2	25.0	0	0	13.0	0	1	0	0	1
669	1		1	0	52.0	1	0	0	0	1
671	1	31.0	1	0	52.0	0	1	0	0	1
672	2	70.0	0	0	10.5	0	1	0	0	1
674	2		0	0	0.0	0	1	0	0	1
676	3	24.5	0	0	8.05	0	1	0	0	1
678	3	43.0	1	6	46.9	1	0	0	0	1
680	3		0	0	8.1375	1	0	0	1	0
681	1	27.0	0	0	76.7292	0	1	1	0	0
683	3	14.0	5	2	46.9	0	1	0	0	1
686	3	14.0	4	1	39.6875	0	1	0	0	1
688	3	18.0	0	0	7.7958	0	1	0	0	1
693	3	25.0	0	0	7.225	0	1	1	0	0
694	1	60.0	0	0	26.55	0	1	0	0	1
695	2	52.0	0	0	13.5	0	1	0	0	1
698	1	49.0	1	1	110.8833	0	1	1	0	0
700	1	18.0	1	0	227.525	1	0	1	0	0
701	1	35.0	0	0	26.2875	0	1	0	0	1
704	3	26.0	1	0	7.8542	0	1	0	0	1
706	2	45.0	0	0	13.5	1	0	0	0	1
708	1	22.0	0	0	151.55	1	0	0	0	1
710	1	24.0	0	0	49.5042	1	0	1	0	0
712	1	48.0	1	0	52.0	0	1	0	0	1
713	3	29.0	0	0	9.4833	0	1	0	0	1
715	3	19.0	0	0	7.65	0	1	0	0	1
718	3		0	0	15.5	0	1	0	1	0
720	2	6.0	0	1	33.0	1	0	0	0	1
722	2	34.0	0	0	13.0	0	1	0	0	1
724	1	27.0	1	0	53.1	0	1	0	0	1
725	3	20.0	0	0	8.6625	0	1	0	0	1
726	2	30.0	3	0	21.0	1	0	0	0	1
727	3		0	0	7.7375	1	0	0	1	0
728	2	25.0	1	0	26.0	0	1	0	0	1
731	3	11.0	0	0	18.7875	0	1	1	0	0
735	3	28.5	0	0	16.1	0	1	0	0	1
738	3		0	0	7.8958	0	1	0	0	1
740	1		0	0	30.0	0	1	0	0	1
742	1	21.0	2	2	262.375	1	0	1	0	0
744	3	31.0	0	0	7.925	0	1	0	0	1
750	2	4.0	1	1	23.0	1	0	0	0	1
752	3	33.0	0	0	9.5	0	1	0	0	1
753	3	23.0	0	0	7.8958	0	1	0	0	1
760	3		0	0	14.5	0	1	0	0	1
761	3	41.0	0	0	7.125	0	1	0	0	1
762	3	20.0	0	0	7.2292	0	1	1	0	0
764	3	16.0	0	0	7.775	0	1	0	0	1
766	1		0	0	39.6	0	1	1	0	0
768	3		1	0	24.15	0	1	0	1	0
769	3	32.0	0	0	8.3625	0	1	0	0	1
771	3	48.0	0	0	7.8542	0	1	0	0	1
778	3		0	0	7.7375	0	1	0	1	0
780	3	13.0	0	0	7.2292	1	0	1	0	0
782	1	29.0	0	0	30.0	0	1	0	0	1
784	3	25.0	0	0	7.05	0	1	0	0	1
785	3	25.0	0	0	7.25	0	1	0	0	1
786	3	18.0	0	0	7.4958	1	0	0	0	1
787	3	8.0	4	1	29.125	0	1	0	1	0
788	3	1.0	1	2	20.575	0	1	0	0	1
796	1	49.0	0	0	25.9292	1	0	0	0	1
799	3	30.0	1	1	24.15	1	0	0	0	1
800	2	34.0	0	0	13.0	0	1	0	0	1
803	3	0.42	0	1	8.5167	0	1	1	0	0
806	1	39.0	0	0	0.0	0	1	0	0	1
807	3	18.0	0	0	7.775	1	0	0	0	1
808	2	39.0	0	0	13.0	0	1	0	0	1
810	3	26.0	0	0	7.8875	0	1	0	0	1
811	3	39.0	0	0	24.15	0	1	0	0	1
813	3	6.0	4	2	31.275	1	0	0	0	1
815	1		0	0	0.0	0	1	0	0	1
816	3	23.0	0	0	7.925	1	0	0	0	1
817	2	31.0	1	1	37.0042	0	1	1	0	0
818	3	43.0	0	0	6.45	0	1	0	0	1
819	3	10.0	3	2	27.9	0	1	0	0	1
820	1	52.0	1	1	93.5	1	0	0	0	1
822	1	38.0	0	0	0.0	0	1	0	0	1
823	3	27.0	0	1	12.475	1	0	0	0	1
825	3		0	0	6.95	0	1	0	1	0
827	2	1.0	0	2	37.0042	0	1	1	0	0
832	3		0	0	7.2292	0	1	1	0	0
833	3	23.0	0	0	7.8542	0	1	0	0	1
837	3		0	0	8.05	0	1	0	0	1
838	3	32.0	0	0	56.4958	0	1	0	0	1
839	1		0	0	29.7	0	1	1	0	0
841	2	16.0	0	0	10.5	0	1	0	0	1
843	3	34.5	0	0	6.4375	0	1	1	0	0
848	2	28.0	0	1	33.0	0	1	0	0	1
851	3	74.0	0	0	7.775	0	1	0	0	1
852	3	9.0	1	1	15.2458	1	0	1	0	0
857	1	51.0	0	0	26.55	0	1	0	0	1
859	3		0	0	7.2292	0	1	1	0	0
862	1	48.0	0	0	25.9292	1	0	0	0	1
864	2	24.0	0	0	13.0	0	1	0	0	1
866	2	27.0	1	0	13.8583	1	0	1	0	0
870	3	26.0	0	0	7.8958	0	1	0	0	1
875	3	15.0	0	0	7.225	1	0	1	0	0
876	3	20.0	0	0	9.8458	0	1	0	0	1
877	3	19.0	0	0	7.8958	0	1	0	0	1
878	3		0	0	7.8958	0	1	0	0	1
880	2	25.0	0	1	26.0	1	0	0	0	1
881	3	33.0	0	0	7.8958	0	1	0	0	1
882	3	22.0	0	0	10.5167	1	0	0	0	1
883	2	28.0	0	0	10.5	0	1	0	0	1
885	3	39.0	0	5	29.125	1	0	0	1	0
886	2	27.0	0	0	13.0	0	1	0	0	1
887	1	19.0	0	0	30.0	1	0	0	0	1
889	1	26.0	0	0	30.0	0	1	1	0	0
890	3	32.0	0	0	7.75	0	1	0	1	0
