id	pclass	age	sibsp	sibsp_2	parch	fare	sex_female	sex_male	embarked_C	embarked_Q	embarked_S
573	3		0	0	0	7.75000 	1	0	0	1	0
578	3		1	0	0	14.45830 	1	0	1	0	0
580	2	25	1	0	1	30.00000 	1	0	0	0	1
583	1	36	0	0	0	40.12500 	0	1	1	0	0
585	1	18	0	0	2	79.65000 	1	0	0	0	1
587	1	60	1	0	1	79.20000 	0	1	1	0	0
588	3	22	0	0	0	8.05000 	0	1	0	0	1
592	3	47	0	0	0	7.25000 	0	1	0	0	1
596	2		0	0	0	33.00000 	1	0	0	0	1
597	3	49	0	0	0	0.00000 	0	1	0	0	1
603	3	44	0	0	0	8.05000 	0	1	0	0	1
609	1	40	0	0	0	153.46250 	1	0	0	0	1
612	3		1	0	0	15.50000 	1	0	0	1	0
614	3	35	0	0	0	8.05000 	0	1	0	0	1
615	2	24	1	0	2	65.00000 	1	0	0	0	1
618	2	4	2	0	1	39.00000 	1	0	0	0	1
619	2	26	0	0	0	10.50000 	0	1	0	0	1
620	3	27	1	0	0	14.45420 	0	1	1	0	0
625	1	61	0	0	0	32.32080 	0	1	0	0	1
626	2	57	0	0	0	12.35000 	0	1	0	1	0
627	1	21	0	0	0	77.95830 	1	0	0	0	1
631	3	51	0	0	0	7.05420 	0	1	0	0	1
632	1	32	0	0	0	30.50000 	0	1	1	0	0
634	3	9	3	1	2	27.90000 	1	0	0	0	1
635	2	28	0	0	0	13.00000 	1	0	0	0	1
638	3	41	0	0	5	39.68750 	1	0	0	0	1
642	3	2	3	1	2	27.90000 	1	0	0	0	1
643	3		0	0	0	56.49580 	0	1	0	0	1
644	3	0.75	2	0	1	19.25830 	1	0	1	0	0
646	3	19	0	0	0	7.89580 	0	1	0	0	1
647	1	56	0	0	0	35.50000 	0	1	1	0	0
648	3		0	0	0	7.55000 	0	1	0	0	1
650	3		0	0	0	7.89580 	0	1	0	0	1
652	3	21	0	0	0	8.43330 	0	1	0	0	1
653	3		0	0	0	7.82920 	1	0	0	1	0
654	3	18	0	0	0	6.75000 	1	0	0	1	0
655	2	24	2	0	0	73.50000 	0	1	0	0	1
656	3		0	0	0	7.89580 	0	1	0	0	1
657	3	32	1	0	1	15.50000 	1	0	0	1	0
658	2	23	0	0	0	13.00000 	0	1	0	0	1
666	2	25	0	0	0	13.00000 	0	1	0	0	1
669	1		1	0	0	52.00000 	1	0	0	0	1
671	1	31	1	0	0	52.00000 	0	1	0	0	1
672	2	70	0	0	0	10.50000 	0	1	0	0	1
674	2		0	0	0	0.00000 	0	1	0	0	1
676	3	24.5	0	0	0	8.05000 	0	1	0	0	1
678	3	43	1	0	6	46.90000 	1	0	0	0	1
680	3		0	0	0	8.13750 	1	0	0	1	0
681	1	27	0	0	0	76.72920 	0	1	1	0	0
683	3	14	5	1	2	46.90000 	0	1	0	0	1
686	3	14	4	1	1	39.68750 	0	1	0	0	1
688	3	18	0	0	0	7.79580 	0	1	0	0	1
693	3	25	0	0	0	7.22500 	0	1	1	0	0
694	1	60	0	0	0	26.55000 	0	1	0	0	1
695	2	52	0	0	0	13.50000 	0	1	0	0	1
698	1	49	1	0	1	110.88330 	0	1	1	0	0
700	1	18	1	0	0	227.52500 	1	0	1	0	0
701	1	35	0	0	0	26.28750 	0	1	0	0	1
704	3	26	1	0	0	7.85420 	0	1	0	0	1
706	2	45	0	0	0	13.50000 	1	0	0	0	1
708	1	22	0	0	0	151.55000 	1	0	0	0	1
710	1	24	0	0	0	49.50420 	1	0	1	0	0
712	1	48	1	0	0	52.00000 	0	1	0	0	1
713	3	29	0	0	0	9.48330 	0	1	0	0	1
715	3	19	0	0	0	7.65000 	0	1	0	0	1
718	3		0	0	0	15.50000 	0	1	0	1	0
720	2	6	0	0	1	33.00000 	1	0	0	0	1
722	2	34	0	0	0	13.00000 	0	1	0	0	1
724	1	27	1	0	0	53.10000 	0	1	0	0	1
725	3	20	0	0	0	8.66250 	0	1	0	0	1
726	2	30	3	1	0	21.00000 	1	0	0	0	1
727	3		0	0	0	7.73750 	1	0	0	1	0
728	2	25	1	0	0	26.00000 	0	1	0	0	1
731	3	11	0	0	0	18.78750 	0	1	1	0	0
735	3	28.5	0	0	0	16.10000 	0	1	0	0	1
738	3		0	0	0	7.89580 	0	1	0	0	1
740	1		0	0	0	30.00000 	0	1	0	0	1
742	1	21	2	0	2	262.37500 	1	0	1	0	0
744	3	31	0	0	0	7.92500 	0	1	0	0	1
750	2	4	1	0	1	23.00000 	1	0	0	0	1
752	3	33	0	0	0	9.50000 	0	1	0	0	1
753	3	23	0	0	0	7.89580 	0	1	0	0	1
760	3		0	0	0	14.50000 	0	1	0	0	1
761	3	41	0	0	0	7.12500 	0	1	0	0	1
762	3	20	0	0	0	7.22920 	0	1	1	0	0
764	3	16	0	0	0	7.77500 	0	1	0	0	1
766	1		0	0	0	39.60000 	0	1	1	0	0
768	3		1	0	0	24.15000 	0	1	0	1	0
769	3	32	0	0	0	8.36250 	0	1	0	0	1
771	3	48	0	0	0	7.85420 	0	1	0	0	1
778	3		0	0	0	7.73750 	0	1	0	1	0
780	3	13	0	0	0	7.22920 	1	0	1	0	0
782	1	29	0	0	0	30.00000 	0	1	0	0	1
784	3	25	0	0	0	7.05000 	0	1	0	0	1
785	3	25	0	0	0	7.25000 	0	1	0	0	1
786	3	18	0	0	0	7.49580 	1	0	0	0	1
787	3	8	4	1	1	29.12500 	0	1	0	1	0
788	3	1	1	0	2	20.57500 	0	1	0	0	1
796	1	49	0	0	0	25.92920 	1	0	0	0	1
799	3	30	1	0	1	24.15000 	1	0	0	0	1
800	2	34	0	0	0	13.00000 	0	1	0	0	1
803	3	0.42	0	0	1	8.51670 	0	1	1	0	0
806	1	39	0	0	0	0.00000 	0	1	0	0	1
807	3	18	0	0	0	7.77500 	1	0	0	0	1
808	2	39	0	0	0	13.00000 	0	1	0	0	1
810	3	26	0	0	0	7.88750 	0	1	0	0	1
811	3	39	0	0	0	24.15000 	0	1	0	0	1
813	3	6	4	1	2	31.27500 	1	0	0	0	1
815	1		0	0	0	0.00000 	0	1	0	0	1
816	3	23	0	0	0	7.92500 	1	0	0	0	1
817	2	31	1	0	1	37.00420 	0	1	1	0	0
818	3	43	0	0	0	6.45000 	0	1	0	0	1
819	3	10	3	1	2	27.90000 	0	1	0	0	1
820	1	52	1	0	1	93.50000 	1	0	0	0	1
822	1	38	0	0	0	0.00000 	0	1	0	0	1
823	3	27	0	0	1	12.47500 	1	0	0	0	1
825	3		0	0	0	6.95000 	0	1	0	1	0
827	2	1	0	0	2	37.00420 	0	1	1	0	0
832	3		0	0	0	7.22920 	0	1	1	0	0
833	3	23	0	0	0	7.85420 	0	1	0	0	1
837	3		0	0	0	8.05000 	0	1	0	0	1
838	3	32	0	0	0	56.49580 	0	1	0	0	1
839	1		0	0	0	29.70000 	0	1	1	0	0
841	2	16	0	0	0	10.50000 	0	1	0	0	1
843	3	34.5	0	0	0	6.43750 	0	1	1	0	0
848	2	28	0	0	1	33.00000 	0	1	0	0	1
851	3	74	0	0	0	7.77500 	0	1	0	0	1
852	3	9	1	0	1	15.24580 	1	0	1	0	0
857	1	51	0	0	0	26.55000 	0	1	0	0	1
859	3		0	0	0	7.22920 	0	1	1	0	0
862	1	48	0	0	0	25.92920 	1	0	0	0	1
864	2	24	0	0	0	13.00000 	0	1	0	0	1
866	2	27	1	0	0	13.85830 	1	0	1	0	0
870	3	26	0	0	0	7.89580 	0	1	0	0	1
875	3	15	0	0	0	7.22500 	1	0	1	0	0
876	3	20	0	0	0	9.84580 	0	1	0	0	1
877	3	19	0	0	0	7.89580 	0	1	0	0	1
878	3		0	0	0	7.89580 	0	1	0	0	1
880	2	25	0	0	1	26.00000 	1	0	0	0	1
881	3	33	0	0	0	7.89580 	0	1	0	0	1
882	3	22	0	0	0	10.51670 	1	0	0	0	1
883	2	28	0	0	0	10.50000 	0	1	0	0	1
885	3	39	0	0	5	29.12500 	1	0	0	1	0
886	2	27	0	0	0	13.00000 	0	1	0	0	1
887	1	19	0	0	0	30.00000 	1	0	0	0	1
889	1	26	0	0	0	30.00000 	0	1	1	0	0
890	3	32	0	0	0	7.75000 	0	1	0	1	0
